ACTOR_ID#ACTOR_GENERO#DIRECTOR_GENERO#DIRECTOR_ID#DIRECTOR_POPULARIDAD#TIEMPO#VOTO_PROMEDIO#PRESUPUESTO#POPULARIDAD_DETALLE#FECHA_PUBLICACION#VOTO_CONTADOR#INGRESOS#GENERO#ANIO#ID_PELICULA#POPULARIDAD#RATING_PROMEDIO
83291#0#2#2224#2,433044#194#7,0#0#0,084188#2003-12-14#1,0#0,0#99#2003#1#1,115168#3,74954296161
567257#0#0#590956#2e-06#170#6,3#0#0,325164#2004-11-16#3,0#0,0#99#2004#5#1,083446#3,91929824561
89914#2#2#82388#0,666791#87#6,6#0#1,641251#1947-04-04#13,0#0,0#35#1947#12#1,854692#3,41758241758
79469#0#2#69669#0,008334#60#0,0#0#0,000579#1988-06-30#0,0#0,0#99#1988#15#1,082002#3,28620689655
5045#2#2#27811#2,996912#108#6,1#20000000#9,746645#1995-09-08#156,0#5781885,0#27#1996#16#16,052319#3,09855502038
58766#2#2#10814#6,032398#96#4,3#13000000#3,63636#2005-06-28#52,0#0,0#28#2005#17#6,94518#2,90320765335
2487#2#2#64#7,304894#121#6,9#120#4,093043#1994-12-16#91,0#0,0#18#1994#18#9,551108#3,78436858795
85446#2#1#35781#1,1e-05#151#6,1#0#0,201445#1972-01-01#6,0#0,0#35#1972#20#1,002538#3,14655172414
203907#2#2#203907#0,001892#89#3,3#0#0,149937#2000-01-01#3,0#0,0#35#2000#22#1,240512#2,24630541872
138868#0#2#133797#1,1e-05#90#6,4#2200000#4,63029#1981-02-11#77,0#0,0#53#1981#24#5,180656#2,99399849962
15521#2#2#21355#1,08663#88#5,7#3000000#4,94293#2004-03-26#35,0#5923000,0#28#2004#26#7,269554#2,79372120798
69797#2#2#66193#1,046665#85#7,1#80000000#10,119597#2002-06-21#1423,0#145771527,0#16#2002#28#24,781589#3,82325417589
47640#2#2#2954#3,126882#118#5,8#0#1,109843#2001-02-24#2,0#0,0#36#2001#29#1,44951#3,59847036329
17698#1#2#514#6,086679#128#6,3#80000000#7,625373#2003-12-12#434,0#266728738,0#18#2003#30#12,818983#3,76184202748
1183459#0#2#63185#0,36#87#0,0#0#0,002657#2003-11-23#0,0#0,0#18#2003#38#1,002391#2,05112219451
1232954#0#1#15675#0,014769#117#6,8#6000000#1,251523#1996-08-23#17,0#12643776,0#35#1996#44#2,232603#3,6840371721
56739#2#1#689#1,504156#88#5,9#0#2,545112#1999-05-21#17,0#0,0#35#1999#45#2,437345#2,96869033982
144977#0#2#2753#0,002577#52#6,8#0#5,027565#1964-12-06#132,0#0,0#16#1964#46#6,624415#3,80649588289
13980#2#1#29623#0,257876#118#7,4#1558000#2,388157#1952-12-25#44,0#0,0#18#1952#47#3,2322#3,26638297872
37362#2#2#10922#0,325597#98#3,7#0#0,2989#1941-09-26#3,0#0,0#10752#1941#50#1,568898#3,02743902439
130140#2#1#3127#3,096022#92#6,9#0#1,127629#2002-01-01#15,0#0,0#99#2002#52#2,749979#3,7571400816
34740#0#1#30003#0,099674#86#5,7#0#0,753618#1952-07-11#10,0#0,0#35#1952#54#2,270084#2,98742138365
15175#0#2#16560#1,077834#95#5,0#50000000#6,688038#1995-10-13#46,0#9851610,0#28#1995#55#9,786111#3,02452202826
40542#2#2#55101#0,0504#148#7,1#3684600#4,098081#2003-03-21#85,0#0,0#18#2004#56#5,425372#3,64866339334
33315#2#2#1327#4,025693#104#6,9#0#3,602921#1995-12-29#50,0#0,0#18#1995#57#4,735912#3,67855137563
18878#2#2#6065#3,495252#103#6,4#57000000#12,873767#1996-05-31#577,0#115267375,0#14#1996#58#21,570597#3,61200804367
81165#2#2#10922#0,325597#106#5,6#0#0,46639#1943-04-22#5,0#0,0#10752#1943#63#2,014631#3,25
45989#2#2#111908#0,88#92#5,0#0#0,873416#1997-02-25#14,0#0,0#27#1997#67#2,561091#2,55709342561
1061603#0#0#61903#0,360652#180#6,0#0#0,640807#2003-12-14#2,0#0,0#28#2003#69#2,498415#3,29310344828
640#2#2#8289#2,677483#96#0,0#0#1,361618#1997-04-11#0,0#0,0#18#1997#75#2,547806#2,57077625571
664#2#1#350#3,797927#109#5,0#50000000#7,432477#1995-06-09#219,0#152022101,0#28#1995#77#9,397158#2,85277246654
13581#2#2#1100#8,981644#89#5,5#60000000#9,194665#1996-11-15#598,0#129832389,0#10751#1996#78#10,314678#2,94164948454
240#2#2#3088#0,490804#85#7,7#320000#6,787116#1956-05-08#303,0#0,0#18#1956#79#9,481758#3,76538121872
6385#2#2#1229#4,291914#97#6,1#0#0,251238#1979-05-11#5,0#0,0#18#1979#80#1,484653#2,79927007299
295713#2#2#65024#2e-05#39#5,2#0#1,525649#1991-10-18#3,0#0,0#99#1991#81#2,568758#3,43955164131
21305#2#2#12149#0,869299#96#5,1#0#3,17024#1951-01-25#6,0#0,0#28#1951#82#6,390171#3,04201680672
5342#2#1#5064#5,808523#131#6,8#0#5,091998#1983-12-14#87,0#0,0#18#1983#83#8,359716#3,72933133946
122967#0#1#64948#0,12496#77#5,6#10000000#3,361092#2002-07-03#50,0#11411644,0#16#2002#84#4,683058#3,22129360465
102439#2#2#6355#3,539709#96#5,0#0#0,473019#2000-07-22#1,0#0,0#28#2000#89#1,33353#2,69134396355
97017#2#2#82388#0,666791#91#7,0#0#0,744645#1951-04-02#11,0#0,0#35#1951#90#5,374709#3,496
1061603#0#0#115788#1,25863#180#6,0#0#0,352779#2005-01-30#1,0#0,0#28#2005#91#1,239777#3,89594356261
3560#2#1#55047#0,168#80#6,2#0#0,71069#2004-05-19#12,0#0,0#18#2004#102#2,002053#2,73636363636
1927#2#2#3151#2,263761#160#7,2#12000000#3,853158#1965-07-01#65,0#25333333,0#12#1965#104#6,348848#3,69771428571
12840#2#1#40279#1,56184#96#3,3#0#0,191524#2002-09-22#4,0#0,0#18#2002#105#2,227128#3,13020833333
1255#2#2#5576#4,594741#102#6,3#19250000#5,297666#2004-03-12#110,0#8112712,0#9648#2004#108#11,750129#3,1673151751
30365#2#2#5049#4,078407#115#5,8#0#2,302708#1989-03-03#26,0#8800000,0#18#1989#110#3,352388#3,03381194998
135177#0#2#19429#1,637042#100#7,3#0#3,050748#2000-10-22#15,0#0,0#99#2000#113#3,321563#3,88513998564
29595#2#2#30181#0,532722#117#6,9#0#1,232872#1957-07-18#15,0#0,0#35#1957#117#2,921994#3,46177370031
16566#2#2#16483#4,700017#96#6,3#44000000#10,158328#1985-05-21#907,0#300400432,0#28#1985#118#15,496411#3,43295218295
3115#2#1#5937#1,515668#94#5,4#0#8,176793#2002-04-15#395,0#0,0#53#2002#122#15,436591#2,91188645772
146847#0#1#3136#4,257863#96#6,0#20000000#1,986038#2000-09-22#25,0#0,0#28#2000#123#2,601329#2,83333333333
58040#2#2#16483#4,700017#99#6,4#5000000#5,04015#1981-03-17#90,0#19905359,0#28#1981#125#9,137832#3,37073452863
64796#2#1#2395#2,552573#104#5,3#0#1,243584#1987-10-30#15,0#0,0#12#1987#127#4,492219#2,6303915063
39167#2#1#19664#0,708957#94#3,2#2500000#0,650492#2003-04-15#10,0#0,0#27#2003#129#2,152576#2,14814814815
62020#2#2#72997#1,856399#95#3,2#570000#4,98462#2001-06-29#21,0#0,0#12#2002#131#4,195158#2,69503546099
48055#2#1#43843#3e-06#82#7,0#0#1,024145#1927-09-09#12,0#0,0#18#1927#136#1,426206#2,975
